零件表,,,,,,,,,,,,,
零件名称,材料名称,参数(mm),参数(mm),参数(mm),长度(mm),数量,,,,,,,
食槽固定板1,等边角钢,4,50,50,40,64,,,,,,,
等边等边角钢,等边角钢,3,40,40,1540,36,,,,,,,
等边等边角钢,等边角钢,3,40,40,1419,4,,,,,,,
等边等边角钢,等边角钢,3,40,40,1335,198.0,,,,,,,
等边等边角钢,等边角钢,3,40,40,1220,6,,,,,,,
等边等边角钢,等边角钢,3,40,40,1519,64,,,,,,,
等边等边角钢,等边角钢,3,40,40,1000,64,,,,,,,
等边等边角钢,等边角钢,3,40,40,1111,4,,,,,,,
等边等边角钢,等边角钢,3,40,40,1530,68,,,,,,,
等边等边角钢,等边角钢,3,40,40,1320,64,,,,,,,
组件1,圆钢,10,,,164.8,2520,,,,,,,
横杆988,圆钢,10,,,988,448,,,,,,,
横杆1323,圆钢,10,1,,1323,952,,,,,,,
后栏门门销,圆钢,12,,,702.9,130,,,,,,,
底部横杆988,圆钢,20,,,988,64,,,,,,,
底部横杆1507,圆钢,20,,,1507,64,,,,,,,
底部横杆1208,圆钢,20,,,1208,6,,,,,,,
底部横梁269,圆钢,20,,,269,64,,,,,,,
底部横梁659,圆钢,20,,,659,64,,,,,,,
底部横杆1518,圆钢,20,,,1518,68,,,,,,,
底部横杆1407,圆钢,20,,,1407,4,,,,,,,
底部横杆1323,圆钢,20,,,1323,62,,,,,,,
底部横杆1528,圆钢,20,,,1528,36,,,,,,,
底部横杆1099,圆钢,20,1,,1099,4,,,,,,,
底部横杆1323,圆钢,20,1,,1323,136,,,,,,,
横杆1208,圆钢,14,,,1208,42,,,,,,,
横杆269,圆钢,14,,,269,64,,,,,,,
横杆1323,圆钢,14,,,1323,434,,,,,,,
横杆1308,圆钢,14,,,1308,384,,,,,,,
横杆1518,圆钢,14,,,1518,476,,,,,,,
横杆1407,圆钢,14,,,1407,28,,,,,,,
横杆659,圆钢,14,,,659,64,,,,,,,
横杆1528,圆钢,14,,,1528,252,,,,,,,
横杆1507,圆钢,14,,,1507,448,,,,,,,
横杆1099,圆钢,14,1,,1099,28,,,,,,,
方形立柱994（双向）,方管,3,40,40,994,128,,,,,,,
方形立柱994,方管,3,40,40,994,32,,,,,,,
方形立柱992（70型）特,方管,3,40,40,992,64,,,,,,,
连接块955（90型）,方管,3,40,40,994,64,,,,,,,
方形立柱992,方管,3,40,40,992,208,,,,,,,
栏门立柱地脚板,扁钢,6,200,,200,224.0,,,,,,,
饮水槽固定板,扁钢,6,40,,205,64,,,,,,,
食槽立柱固定板,扁钢,6,40,,80.4,256,,,,,,,
连接块955（边无孔）,扁钢,6,40,,947,128,,,,,,,
连接块955（90型）,扁钢,6,40,,947,292.0,,,,,,,
墙体固定板,扁钢,6,40,,150,124,,,,,,,
连接块955（中间）,扁钢,6,40,,947,444.0,,,,,,,
连接块955（边）,扁钢,6,40,,947,596.0,,,,,,,
地脚板1,扁钢,8,80,,300,272.0,,,,,,,
连接板2,扁钢,8,40,,45,256.0,,,,,,,
